KxIndex,Id,SalePrice,rr_SalePrice
1,1461,,124418
2,1462,,162118
3,1463,,188261
4,1464,,192222
5,1465,,196081
6,1466,,170864
7,1467,,184797
8,1468,,163239
9,1469,,194966
10,1470,,118498
11,1471,,189798
12,1472,,95850
13,1473,,93877
14,1474,,152936
15,1475,,119460
16,1476,,370303
17,1477,,253168
18,1478,,309864
19,1479,,300446
20,1480,,438874
21,1481,,315205
22,1482,,201218
23,1483,,171012
24,1484,,162046
25,1485,,189809
26,1486,,193678
27,1487,,341319
28,1488,,228850
29,1489,,193238
30,1490,,246985
31,1491,,192304
32,1492,,98545
33,1493,,193253
34,1494,,298816
35,1495,,303775
36,1496,,245870
37,1497,,171179
38,1498,,164545
39,1499,,166268
40,1500,,159769
41,1501,,187407
42,1502,,157065
43,1503,,293875
44,1504,,234529
45,1505,,205895
46,1506,,194145
47,1507,,258978
48,1508,,196411
49,1509,,161532
50,1510,,140528
51,1511,,150381
52,1512,,173563
53,1513,,148014
54,1514,,170799
55,1515,,194732
56,1516,,149889
57,1517,,168048
58,1518,,127123
59,1519,,205855
60,1520,,126745
61,1521,,130581
62,1522,,170566
63,1523,,109985
64,1524,,121792
65,1525,,125281
66,1526,,116188
67,1527,,107102
68,1528,,137989
69,1529,,147455
70,1530,,190741
71,1531,,126516
72,1532,,105617
73,1533,,145817
74,1534,,121846
75,1535,,159004
76,1536,,111160
77,1537,,53765
78,1538,,169822
79,1539,,203007
80,1540,,113766
81,1541,,132334
82,1542,,138944
83,1543,,191220
84,1544,,83756
85,1545,,119272
86,1546,,133015
87,1547,,131860
88,1548,,127463
89,1549,,111014
90,1550,,133308
91,1551,,118678
92,1552,,150694
93,1553,,159020
94,1554,,124989
95,1555,,170736
96,1556,,97638
97,1557,,110893
98,1558,,97419
99,1559,,94841
100,1560,,126626
101,1561,,125679
102,1562,,126680
103,1563,,120455
104,1564,,167231
105,1565,,147741
106,1566,,246383
107,1567,,67231
108,1568,,233728
109,1569,,132522
110,1570,,148135
111,1571,,115852
112,1572,,149158
113,1573,,251740
114,1574,,120296
115,1575,,238783
116,1576,,237650
117,1577,,170947
118,1578,,157611
119,1579,,140858
120,1580,,190629
121,1581,,168526
122,1582,,128221
123,1583,,304831
124,1584,,216430
125,1585,,143615
126,1586,,54215
127,1587,,105836
128,1588,,161921
129,1589,,97369
130,1590,,131016
131,1591,,93790
132,1592,,119845
133,1593,,125870
134,1594,,126739
135,1595,,113672
136,1596,,206420
137,1597,,170983
138,1598,,194021
139,1599,,188067
140,1600,,169529
141,1601,,61262
142,1602,,120127
143,1603,,90018
144,1604,,263285
145,1605,,246769
146,1606,,168874
147,1607,,188221
148,1608,,202171
149,1609,,192093
150,1610,,159418
151,1611,,140167
152,1612,,171157
153,1613,,164938
154,1614,,145207
155,1615,,98854
156,1616,,74924
157,1617,,92071
158,1618,,122786
159,1619,,146354
160,1620,,168588
161,1621,,140063
162,1622,,150266
163,1623,,298763
164,1624,,204283
165,1625,,121248
166,1626,,165283
167,1627,,190609
168,1628,,290120
169,1629,,171178
170,1630,,337153
171,1631,,205423
172,1632,,236252
173,1633,,170756
174,1634,,188069
175,1635,,185828
176,1636,,159321
177,1637,,193344
178,1638,,198273
179,1639,,187722
180,1640,,250870
181,1641,,188373
182,1642,,226767
183,1643,,207515
184,1644,,220504
185,1645,,240339
186,1646,,165610
187,1647,,162375
188,1648,,126701
189,1649,,136392
190,1650,,120384
191,1651,,118022
192,1652,,97350
193,1653,,105238
194,1654,,147944
195,1655,,138466
196,1656,,144015
197,1657,,147249
198,1658,,146358
199,1659,,123285
200,1660,,148305
201,1661,,466458
202,1662,,382780
203,1663,,371748
204,1664,,468789
205,1665,,316104
206,1666,,346780
207,1667,,357826
208,1668,,337826
209,1669,,305083
210,1670,,357332
211,1671,,271734
212,1672,,397025
213,1673,,303289
214,1674,,245942
215,1675,,194756
216,1676,,199697
217,1677,,206611
218,1678,,425618
219,1679,,371803
220,1680,,327369
221,1681,,257262
222,1682,,320576
223,1683,,191523
224,1684,,187398
225,1685,,171330
226,1686,,163358
227,1687,,170698
228,1688,,190514
229,1689,,192119
230,1690,,195010
231,1691,,190135
232,1692,,259598
233,1693,,170760
234,1694,,186703
235,1695,,167406
236,1696,,278556
237,1697,,168706
238,1698,,355474
239,1699,,310407
240,1700,,253062
241,1701,,272979
242,1702,,247548
243,1703,,249813
244,1704,,298008
245,1705,,226721
246,1706,,400029
247,1707,,199638
248,1708,,194331
249,1709,,258582
250,1710,,200307
251,1711,,261333
252,1712,,256775
253,1713,,283498
254,1714,,206386
255,1715,,195899
256,1716,,180668
257,1717,,169018
258,1718,,140905
259,1719,,200546
260,1720,,236072
261,1721,,169769
262,1722,,138846
263,1723,,165824
264,1724,,199728
265,1725,,230651
266,1726,,190438
267,1727,,151163
268,1728,,187987
269,1729,,161523
270,1730,,150853
271,1731,,120822
272,1732,,126619
273,1733,,112430
274,1734,,116741
275,1735,,136065
276,1736,,104977
277,1737,,319785
278,1738,,250747
279,1739,,258493
280,1740,,219739
281,1741,,189945
282,1742,,169218
283,1743,,186639
284,1744,,312993
285,1745,,204093
286,1746,,202496
287,1747,,221090
288,1748,,234899
289,1749,,150268
290,1750,,143684
291,1751,,251025
292,1752,,120281
293,1753,,157828
294,1754,,201181
295,1755,,170020
296,1756,,126356
297,1757,,122335
298,1758,,149105
299,1759,,166676
300,1760,,167873
301,1761,,158587
302,1762,,186247
303,1763,,181751
304,1764,,118271
305,1765,,188361
306,1766,,195836
307,1767,,232254
308,1768,,145097
309,1769,,166801
310,1770,,158698
311,1771,,125483
312,1772,,135266
313,1773,,129644
314,1774,,146837
315,1775,,133107
316,1776,,126749
317,1777,,111849
318,1778,,148595
319,1779,,123756
320,1780,,169197
321,1781,,126623
322,1782,,85369
323,1783,,143358
324,1784,,110443
325,1785,,126679
326,1786,,143695
327,1787,,170532
328,1788,,63845
329,1789,,103195
330,1790,,86640
331,1791,,188767
332,1792,,160774
333,1793,,128801
334,1794,,162135
335,1795,,129359
336,1796,,142651
337,1797,,126694
338,1798,,118465
339,1799,,118913
340,1800,,126561
341,1801,,127427
342,1802,,126652
343,1803,,149784
344,1804,,135507
345,1805,,139672
346,1806,,126722
347,1807,,139605
348,1808,,127514
349,1809,,126695
350,1810,,143748
351,1811,,80077
352,1812,,97098
353,1813,,126551
354,1814,,83781
355,1815,,50341
356,1816,,107668
357,1817,,115453
358,1818,,159650
359,1819,,129645
360,1820,,62621
361,1821,,112290
362,1822,,152050
363,1823,,53744
364,1824,,134410
365,1825,,144835
366,1826,,94961
367,1827,,98297
368,1828,,126757
369,1829,,112522
370,1830,,149601
371,1831,,154332
372,1832,,91626
373,1833,,143259
374,1834,,134476
375,1835,,126570
376,1836,,127948
377,1837,,96190
378,1838,,126553
379,1839,,100790
380,1840,,162706
381,1841,,137969
382,1842,,90887
383,1843,,131296
384,1844,,126758
385,1845,,139861
386,1846,,150347
387,1847,,169510
388,1848,,36211
389,1849,,110846
390,1850,,117355
391,1851,,158064
392,1852,,123309
393,1853,,126734
394,1854,,168580
395,1855,,150736
396,1856,,207164
397,1857,,160330
398,1858,,135241
399,1859,,109187
400,1860,,157773
401,1861,,107631
402,1862,,291787
403,1863,,280850
404,1864,,280781
405,1865,,337520
406,1866,,327762
407,1867,,225371
408,1868,,299070
409,1869,,201168
410,1870,,225965
411,1871,,247223
412,1872,,171227
413,1873,,232499
414,1874,,152091
415,1875,,197535
416,1876,,193109
417,1877,,206819
418,1878,,196214
419,1879,,132829
420,1880,,133410
421,1881,,250110
422,1882,,247544
423,1883,,184178
424,1884,,195727
425,1885,,251172
426,1886,,299665
427,1887,,206401
428,1888,,293300
429,1889,,170023
430,1890,,121388
431,1891,,126629
432,1892,,103298
433,1893,,127246
434,1894,,126697
435,1895,,136045
436,1896,,126821
437,1897,,123968
438,1898,,126548
439,1899,,160322
440,1900,,158671
441,1901,,169953
442,1902,,149874
443,1903,,204154
444,1904,,135296
445,1905,,182364
446,1906,,156903
447,1907,,196490
448,1908,,111027
449,1909,,137052
450,1910,,126532
451,1911,,190657
452,1912,,295792
453,1913,,149820
454,1914,,73289
455,1915,,304813
456,1916,,61856
457,1917,,246227
458,1918,,144617
459,1919,,184816
460,1920,,162360
461,1921,,379290
462,1922,,321540
463,1923,,224048
464,1924,,237966
465,1925,,203158
466,1926,,379247
467,1927,,137352
468,1928,,161776
469,1929,,129065
470,1930,,126660
471,1931,,148610
472,1932,,139984
473,1933,,190349
474,1934,,173718
475,1935,,167610
476,1936,,193395
477,1937,,188724
478,1938,,170592
479,1939,,246369
480,1940,,195298
481,1941,,170256
482,1942,,188948
483,1943,,210867
484,1944,,340217
485,1945,,374716
486,1946,,159937
487,1947,,319565
488,1948,,178316
489,1949,,244980
490,1950,,189350
491,1951,,259057
492,1952,,222507
493,1953,,175264
494,1954,,189591
495,1955,,136742
496,1956,,305022
497,1957,,159383
498,1958,,297380
499,1959,,137360
500,1960,,106449
501,1961,,124003
502,1962,,96154
503,1963,,106915
504,1964,,105873
505,1965,,147168
506,1966,,131269
507,1967,,298845
508,1968,,397384
509,1969,,372896
510,1970,,421070
511,1971,,430253
512,1972,,378088
513,1973,,286143
514,1974,,321816
515,1975,,463463
516,1976,,277098
517,1977,,350603
